eDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,MSKCC_Name,NHP_Name,DSLD_Name,DDSAE_Name,Twitter_Name,SuppKG_Name,SuppAI_Name,EHR_Name
DSI000000,5-htp,C0000578,"5-HTP or L-5-Hydroxytryptophan is a key intermediate in the biosynthesis of the neurotransmitters serotonin and melatonin. It is formed by hydroxylation of the amino acid L-tryptophan. 5-HTP is marketed as a dietary supplement for sleep, to improve mood and well-being, and to suppress appetite. Seeds from the African shrub Griffonia simplicifolia are a major source for these supplements due to their high 5-HTP content . In animal models, anxiolytic and antidyskinetic effects have been demonstrated . 5-HTP has also been shown to restore serotonin levels or, at excessive levels, to induce serotonin syndrome . In humans, most research on 5-HTP involves small trials with mixed results. A few studies suggest 5-HTP may reduce anxiety or depression , but not treatment-resistant depression . Evidence for its use in PTSD prevention is also lacking . Other studies suggest antidepressant effects comparable with fluoxetine , and potential benefit as part of augmentation therapy for drug-resistant depression . 5-HTP has also been evaluated for obesity. Preliminary findings suggest it may help decrease food intake and increase weight loss and early satiety . More recently, a sublingual 5-HTP spray increased appetite control in overweight women . Other preliminary studies suggest benefit for patients with fibromyalgia , but not for postmenopausal hot flashes or tardive dyskinesia . 5-HTP does not appear to reduce chronic tension headaches, although a decrease in analgesic use was noted . It was also ineffective as prophylaxis for childhood migraine , but may improve pediatric sleep terrors . Larger well-designed studies are needed to determine the populations and conditions for which 5-HTP supplementation may be useful, and to determine safety, particularly in conjunction with other serotonergic medications including antidepressants.",,"5-HTP crosses the blood-brain barrier and increases serotonin synthesis (25). The advantage of 5-HTP over L-tryptophan is its ability to bypass the rate-limiting step that tryptophan must undergo via the enzyme tryptophan hydroxylase to convert to 5-HTP. In addition, this enzyme can be inhibited by various factors including B6 or magnesium deficiencies, stress, or insulin resistance, and make tryptophan unavailable for serotonin production (2).
In a series of preclinical experiments, 5-HTP was metabolized by a wide variety of gut bacteria and converted to 5-hydroxyindole, which can accelerate GI motility, but this conversion depends upon microbial composition and pH (39).
Relaxation and anxiolytic properties of 5-HTP are attributed to its ability to elevate CNS serotonin levels (2). 5-HTP was shown to augment neuroendocrine response to an SSRI via increased presynaptic 5HT availability, thus enhancing 5HT release into the synapse (26). It was also proposed to potentially reduce hot flashes in menopausal women with breast cancer or with risk of breast cancer by enhancing serotonin levels (27) , but a clinical study in postmenopausal women found it ineffective (20) .
5-HTP can also increase levels of melatonin, dopamine, and norepinephrine (28) (29), compounds involved in mood and sleep regulation and whose mechanistic pathways may also be stimulated (2). As abnormalities in serotonin and epinephrine pathways have been suspected in fibromyalgia and other chronic diseases (5) (30), this may help to explain preliminary benefits seen with 5-HTP supplementation in other disease states.
Additional studies are needed to further identify mechanisms and conditions under which 5-HTP may exert positive effects or pose concerns when used, especially with other medications due to its modulatory effects on neurotransmitters.","Dietary sources of L-tryptophan, which the body converts to 5-HTP, include turkey, chicken, pumpkin seeds, spinach, milk, and bananas. | Griffonia simplicifolia, Seed | nan","5-Hydroxytryptophan | 5-HTP; L-5-Hydroxytryptophan | L-5-HTP; Oxitriptan (INN) | 5-OHTrp | 5 hydroxytryptophan | Hydroxytryptophan (5-) | Hydroxytryptophan | Oxitriptan | 5-Hydroxy tryptophan | 5-HTP | 5 htp | Oxytryptophan | Tryptophan, 5-Hydroxy- | 5 hydroxy tryptophan | Tript-OH | 2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid",5-HTP,5-HTP | 5-Hydroxytryptophan | 5-hydroxytryptophan | L-5-HTP,5-HTP,5-HTP,5-htp,DC0000578,C0000578,
DSI000001,compound 714-X,C0539517,"A proprietary product developed in the 1960s, 714X is used to prevent and treat cancer, AIDS, lupus, fibromyalgia, and chronic fatigue syndrome. It is promoted as a sterile, isotonic formulation that contains nitrates (~5%), ammonium (~1.4%), and camphor (0.01%) . It is illegal in the United States and is available only in Canada under the Compassionate Use Program . 714X is injected intra-lymphatically in the groin area daily for 21 days followed by three treatment-free days. This cycle is repeated at least three times. Inhalation therapy is used concomitantly for patients with head and neck or lung cancer. Injection site reactions, including redness and soreness, may occur . 714X has not been evaluated for any of the proposed claims.",,"Developed by Gaston Naessens, 714X is said to help disease regression, revitalize the immune system, and support host defense mechanisms. Promoters claim that camphor has selective affinity for cancer cells, while nitrate fulfills cancer cells’ nitrogen requirement, thereby protecting immune cells. The nitrogen-enriched camphor supposedly antagonizes the secretion of cocancerogenic K factor by cancer cells (1) (2). There are no data to support the above mechanisms of action nor benefits of this product.",,Gaston Naessens 714X | 714-X | Naessens 714X,714X,,,,,,,
DSI000002,berry,C0005135,"Acai is the fruit of a palm tree native to South America. It is consumed as food and used in traditional medicine. The pulp and skin of acai fruit are rich in anthocyanins, proanthocyanidins, and fatty acids . It is marketed as a dietary supplement to lower cholesterol, support heart health, and for its antioxidant properties.Preclinical experiments suggest acai has anti-inflammatory , antioxidant , proapoptotic , antitumorigenic , atheroprotective , and anticancer effects. An acai extract inhibited beta-amyloid inhibition, which suggests it may also have neuroprotective activity . In a murine model, nasal administration of acai polysaccharides potentiated innate immunity against pulmonary infections . Other animal studies suggest oral acai extract may help prevent exercise intolerance, cardiac hypertrophy, and dysfunction in rats with myocardial infarction .Limited clinical studies suggest improvements in biomarkers of inflammation and oxidative stress in individuals with metabolic syndrome , tinnitus and vascular function in overweight adults . Other preliminary data suggest an acai juice product may lengthen prostate specific antigen PSA doubling time in patients with recurrent prostate cancer . However, these observations need confirmation in larger well-designed studies .Acai protected against chemo-induced cardiotoxicity in murine models . But because of its antioxidant effects, acai may interfere with the actions of certain chemotherapy drugs. Consumption of contaminated acai fruit with insects carrying Trypanosoma cruzii, a protozoan that causes Chagas disease, resulted in 178 cases of acute disease .",,"Antioxidant properties of acai (5) (6) have been related to scavenging reactive oxygen species (7). It also protected human vascular endothelial cells against oxidative stress and inflammation, downregulated IL-6 and -8 expression at mRNA and protein levels, and inhibited gene expression of adhesion molecules and NF-κB activation (14). Anti-inflammatory effects may occur via NO or COX inhibition (5) (8). In a diabetic murine model, an acai seed extract protected against hepatic steatosis by reducing hepatic lipogenesis and increasing antioxidant defense and cholesterol excretion (25).Apoptosis in HL-60 leukemia cells with acai may occur through caspase 3 activation (2). Cytotoxic effects on various malignant cell lines were attributed to increased expression of LC3BII, a protein marker of auto-phagosome formation (18).",,Acai berry | Acai palm | Cabbage palm | Palm berry,Acai Berry,,Himalaya Berry | Levant Berry | Purple berry,,,,,
DSI000003,Agaricus bisporus (substance),C3696071,"Agaricus blazei is an edible mushroom native to Brazil and is cultivated in Japan for medicinal uses. It has been used to treat arteriosclerosis, hepatitis, hyperlipidemia, diabetes, dermatitis, and cancer. Preclinical studies suggest antidiabetic , antiangiogenic, apoptotic, and antiproliferative effects . Studies in humans are limited. A few suggest that agaricus extracts improved insulin resistance in diabetic patients , reduced weight, body fat, glucose, and cholesterol levels in healthy individuals , and improved quality of life in patients with ulcerative colitis . An oral agaricus extract improved natural killer cell activity and quality of life in gynecological cancer patients undergoing chemotherapy . Other preliminary data show that daily intake of agaricus powder improves quality of life among cancer patients in remission . Although no survival improvements were reported with an agaricus extract in multiple myeloma patients, immunomodulatory effects were observed . However, agaricus extract did not confer any benefits in elderly women . Larger studies are needed to resolve the ambiguity. Whereas a small study reported that agaricus extract may improve liver function in patients with hepatitis B , liver damage and deaths along with cheilitis have been reported following consumption. In addition, laboratory samples of agaricus had high levels of inorganic arsenic . Brefeldin A, a compound isolated from agaricus, was shown to have estrogenic activity, but did not stimulate growth of breast cancer cells .",,"Agaricus extract was shown to exert estrogen-like activity and may help prevent atherosclerosis via dual roles in cell signaling, macrophage development suppression and endothelial cell recovery from vascular damage (16). Both aqueous and organic extracts of agaricus offered protection to cells exposed to methyl methanesulphonate, a mutagenic agent. The stimulus produced by linoleic acid on beta-DNA polymerase, an enzyme involved in repair mechanism following exposure of DNA to alkylating agents, is thought responsible for such an effect (19).
Ergosterol, a major constituent of agaricus, was found to inhibit tumor growth in mice via direct inhibition of tumor-induced angiogenesis (6). Other studies demonstrated that polysaccharides present in agaricus extract caused activation of macrophages (5) or natural killer cells (17) and induced cytotoxic T-lymphocyte activity in tumor-bearing mice. Specifically, activation of natural killer cells was mediated through IL-12-induced IFN-gamma expression (18). Agaricus extract stimulates caspase 3 activation and reduces telomerase activity (19) possibly through regulation of Akt signaling (20) thereby inducing apoptosis in cancer cell lines. Blazeispirol A, produced by agaricus fermentation, causes both caspase-dependent and -independent cell death in human Hep 3B cells (21). Agaritine, a hydrazine-containing constituent also exhibits antitumor activity toward U937 leukemic cells mediated through apoptosis (22). In another study, polysaccharides isolated from agaricus were shown to induce apoptosis in HL-60 cells through a signaling cascade of mitochondrial caspase-3-dependent pathway (28).","Agaricus is an edible fungus. It is available as freeze-dried mushrooms or as concentrated liquid extracts, teas, or capsules. The whole mushroom is often added to soups, sauces, or hot teas. | Agaricus bisporus - Whole | Mycelia",Himematsutake | Agarikusutake | Kawarihiratake | Cogumelo do Sol | Sun mushroom,Agaricus,Agaricus Bisporus | Agaricus bisporus,,,,,,
DSI000004,AHCC,C5557556,"Active hexose correlated compound (AHCC) is a proprietary extract derived from the mycelia of shiitake (Lentinus edodes) mushrooms. It is rich in alpha-1,4-glucan oligosaccharides that are thought to enhance its biological effects . Patients use AHCC to prevent and treat cancer. AHCC showed anti-inflammatory and anticancer effects , enhanced resistance to microbial infections , and may protect against oxidative stress-induced disorders . In healthy adults, AHCC improved T-cell immune responses , increased dendritic cell number and function , improved antibody response to influenza vaccine , and when used with Bifidobacterium longum, modulated T regulatory and dendritic cell phenotypes to favor anti-inflammatory responses after antibiotic use . Preliminary findings suggest that AHCC may improve prognosis and prevent recurrence after curative resection of hepatocellular carcinoma , improve nutritional status when given during neoadjuvant therapy , and reduce chemo-associated adverse effects . However, in an open-label multicenter study of patients with early stage prostate cancer, AHCC was ineffective in reducing prostate-specific antigen levels by 50% or more . Further research is needed to determine the therapeutic potential of this extract.",,"AHCC glucans are low molecular weight (~5 KDa) polysaccharides with alpha-1,3 linkages. Both properties are unusual for this class of compounds with reported immunomodulatory properties (7). Proposed mechanisms include orchestrating immune responses and maintaining immune homeostasis in part by priming TLR-2 and TLR-4 (toll-like receptor) gates at the intestinal epithelium (24).
AHCC enhanced natural killer cell activity to induce endogenous IL-12 in mice (8), improved murine response to influenza infection (15), increased resistance to West Nile virus by improving T-cell response (16), and increased resistance to bacterial infection (3) likely via increasing inflammatory cytokine and chemokine expression as well as lymphocytes (13).
In healthy adults, AHCC enhanced CD4+ and CD8+ T-cell immune responses (19). In patients with hepatocellular carcinoma and cirrhosis, beneficial effects on liver function (10) are thought to  be via regulation of nitric oxide production (14).
AHCC also enhanced antitumor effects of 5-fluorouracil by enhancing apoptosis, upregulating expression of BCl-2 associated X protein, and by downregulating B cell lymphoma 2 (26). Proposed mechanisms for overcoming drug resistance in cancer cells include downregulation of Heat Shock Factor 1, which induces heat shock protein HSP27, known to be involved in gemcitabine resistance (27).",Lentinula edodes - Mycelia,Active Hexose Correlated Compound,AHCC,Active hexose correlated compound | Active Hexose Correlated Compound,AHCC,,,,,
DSI000005,alfalfa,C0002022,"The leaves and seeds of this widely used food crop are thought to have diuretic properties, to be effective against diabetes, thyroid gland malfunction, arthritis, high cholesterol, and peptic ulcers , and to promote menstruation and lactation . Alfalfa is a popular treatment for asthma and hay fever . It is also claimed to be a source of vitamins A, C, E, and K and of the minerals, calcium, potassium, phosphorus, and iron . Alfalfa sprout extracts showed neuroprotective and estrogenic activities in preclinical studies. It was found to lower cholesterol levels in small uncontrolled trials . L-canavanine, a toxic amino acid present in alfalfa seeds, was shown to affect T cells . Whether high enough concentrations of this substance are obtained through supplementation is not clear . In another study, rats that were fed alfalfa were more susceptible to colon cancer, although such effects have not been observed in humans . Ingestion of contaminated alfalfa sprouts and seeds resulted in fatalities and salmonellosis . Listeriosis has also been reported following consumption of contaminated alfalfa tablets .",,"Saponins contained in alfalfa act on the cardiovascular, nervous, and digestive systems (1). The hypocholesterolemic and hemolytic activity of the leaves and sprouts of alfalfa are attributed to a steroidal saponin fraction which, along with fiber contained within the plant, binds to cholesterol in vitro. Alkaloids such as stachydrine and l-homo-stachydrine found in the seed are thought responsible for alfalfa’s ability to promote menstrual discharge and for its lactogenic activity (2). Biochanin-A, an isoflavonoid constituent, blocks NF-κB activation by preventing phosphorylation and degradation of IκBα, leading to decreased expression of inducible nitric oxide synthase, thus preventing proliferation and inflammation (17).
Extracts from alfalfa preferentially served as agonists for estrogen receptor beta, and alfalfa increased estrogen-dependent MCF-7 breast cancer cell proliferation even more than did estradiol (9). The non-protein amino acid constituent, L-canavanine, constitutes 1.5% of the dry weight of alfalfa seeds and alfalfa sprouts. It has been shown to affect human T cells in vitro and induce hematologic and serologic abnormalities characteristic of systemic lupus erythematosus in monkeys (13). This is the proposed mechanism by which systemic lupus erythematosus relapse occurs in humans as well (7), although some researchers question whether L-canavanine concentrations in alfalfa are sufficient to cause this effect (8).",Alfalfa seeds and sprouts are available around the world and used frequently as animal feed. | Leaf | Whole plant,Buffalo Herb | Lucerne | Purple Medick | Purple Medicle | Purple Medic,Alfalfa,Medicago sativa | Alfalfa,Alfalfa,Alfalfa,,DC0002022,,
DSI000006,aloe vera,C0718405,"Aloe vera is a perennial, succulent plant that resembles a cactus and is used in traditional medicine throughout the world. The clear thick gel obtained from aloe leaves is used for wound healing, to treat burns, psoriasis, frostbite, ulcerative colitis, diabetes and to relieve constipation. Aloe demonstrated antioxidant and anti-inflammatory properties in vitro . In clinical studies, topical aloe was superior to silver sulfadiazine creams for second-degree burns , equally effective as an estrogen cream against vaginal atrophy in menopausal women , useful for skin graft donor-site healing and improving symptoms of acute radiation proctitis in patients receiving radiotherapy as well as postoperative pain and discomfort following pilonidal sinus excision . Aloe vera mouthwash reduced plaque and gingivitis with the effects comparable to chlorhexidine . Systematic reviews also determined benefits of aloe vera against oral ulcers , oral submucous fibrosis and oral lichen planus . In addition, aloe gel complex reduced body weight and insulin resistance in obese individuals with pre-diabetes or early untreated diabetes mellitus , prevented pressure ulcers in hospitalized orthopedic patients at risk of developing such ulcers and traumatic oral ulceration in patients with fixed orthodontic appliances , along with accelerating split-thickness skin graft donor-site healing . Adjuvant use of aloe may improve quality of life in patients with systolic heart failure .Constituents of aloe, such as acemannan, emodin, aloeride,and di(2-ethylhexyl)phthalate (DEHP) also have immunomodulating and anticancer effects . Preliminary findings suggest benefits of aloe in preventing chemo-induced oral mucositis in adults and pediatric patients. It may also help improve tumor regression rate and survival in those with metastatic cancers . However, studies of topical aloe for radiation-induced skin damage produced mixed results .",,"Several studies have been conducted to explore the mechanisms of action of aloe.
Oligosaccharides isolated from aloe extracts were found to prevent ultraviolet radiation-induced suppression of delayed type hypersensitivity by reducing keratinocyte-derived immunosuppressive cytokines (25). Proposed mechanism underlying anti-psoriatic effect includes inhibition of tumor necrosis factor (TNF)‑alpha‑induced proliferation of keratinocytes and overactivation of the nuclear factor (NF‑kappa B signaling pathway, by an aloe polysaccharide (40). And a polymer fraction of aloe was shown to protect the gastric mucosa against ethanol-induced gastric damage by decreasing mRNA expression levels of inducible nitric oxide synthase (iNOS), neuronal nitric oxide synthase (nNOS), and matrix metalloproteinase (MMP-9). The three enzymes are critical biomarkers in gastric ulceration (26). Other findings suggest that the radio-protective effects of aloe polysaccharides are most likely due to inhibition of apoptosis (27).
Emodin, an extract of Aloe vera, was shown to inhibit cell proliferation and induce apoptosis in human liver cancer cell lines through p53- and p21-dependent pathways (4). Acemannan, a carbohydrate fraction derived from Aloe vera leaf, was found to stimulate cytokine production in mouse macrophage cell line (5). It also exhibited immunomodulating activity by inducing maturation of dendritic cells (6). And aloeride, a polysaccharide obtained from aloe vera juice, was reported to be a potent immunostimulator that acts by enhancing NF-kappa B activities (7). In addition, di(2-ethylhexyl)phthalate (DEHP), isolated from Aloe vera, inhibited leukemic cells, in vitro (8).",Leaf gel | Latex | Inspissated juice,Aloe gel | aloe leaf | Aloe vera | aloe plant vera | aloe vera plant | aloe plants vera | vera aloe | Aloe barbadensis | Barbados Aloe | Aloe barbadensis P. Mill. | Aloe vulgaris Lam.,Aloe Vera,Aloe vera | Aloe barbadensis | Aloe vulgaris,Aloe vera,,,DC0718405,C0718405,
DSI000007,alpha-lipoic acid,C0023791,"Alpha lipoic acid (ALA) is an endogenous cofactor found in cells. It can be obtained from a variety of foods in the diet. ALA is sometimes referred to as a “universal antioxidant” because it is both water- and fat-soluble and can neutralize free radicals . It is marketed as a dietary supplement for this reason, and is also used as adjuvant therapy for neuropathy and to improve glycemic control. Preclinical studies show that ALA plays a crucial role in energy production, and exerts antioxidant and apoptotic effects . Studies on ALA in humans have been conducted across various populations. Preliminary data suggest long-term supplementation may help preserve walking ability in patients with secondary progressive multiple sclerosis, especially those with less disability at baseline . Studies of intravenous and oral forms suggest improved insulin sensitivity, vasodilation, and neuropathy symptoms in diabetic patients , although earlier studies to determine its role in reversing neuropathies and liver disease produced mixed results. Data from a double-blind RCT suggest short-term ALA supplementation can be beneficial for idiopathic pain without altering glycemia in patients with normal levels , but another trial did not find it helpful for fibromyalgia . In women with gestational diabetes, oral ALA may improve liver function and glucose metabolism . Meta-analyses also suggest ALA supplementation may reduce inflammatory mediators such as CRP, IL-6, TNF-α, and improve some glucose and lipid parameters , but confirming studies are needed. In other preliminary studies, ALA induced mild weight loss and waist circumference reduction in overweight or obese subjects . Long-term use of R-ALA, which has increased bioavailability, produced modest weight loss in overweight/obese adults without significant reductions in triglyceride levels . In postoperative settings, ALA helped improve wound healing and scarring in women undergoing cesarean section , and reduced pain after carpal tunnel decompression . In patients with atrial fibrillation, it reduced serum markers of inflammation but not AF recurrence after ablative treatment . Although current data suggest protective effects of antioxidants against Alzheimer’s disease, such effects were not found with a combination of coenzyme Q, vitamin C, vitamin E, and ALA . And even though preclinical studies of ALA demonstrate antioxidant properties with efficacy in neurodegenerative models, oral ALA was ineffective in patients with geographic atrophy from advanced macular degeneration . High doses of ALA can cause hypoglycemic symptoms and other serious conditions. ALA may also antagonize the effects of chemotherapy and radiation therapy because of its antioxidant properties.",,"ALA acts as a lipophilic free radical scavenger. Dihydrolipoic acid (DHLA), a reduced form of ALA, has more antioxidant effects. It can assist in repairing oxidative damage and regenerate endogenous antioxidants such as vitamin C, vitamin E, and glutathione. Both DHLA and ALA also have metal-chelating capacities. As a lipoamide, ALA functions as a cofactor in various multienzyme systems involved in the decarboxylation of alpha-keto acids such as pyruvate (13) (14) (15).
ALA produced cell cycle arrest in G0/G1 phases in FaDu and Jurkat human tumor cell lines (1). It also scavenged ROS in MCF-7 breast cancer cells, followed by cell growth arrest and apoptosis (16). In another study, ALA induced cell death in colorectal cancer cells independent of their p53 status, and enhanced cytotoxicity of 5-fluorouracil (22).
In healthy controls and secondary progressive multiple sclerosis patients, ALA appears to stimulate cAMP production (36). In critically ill patients, ALA reduced oxidative stress and improved insulin resistance (37).","Organ meats, spinach, broccoli, tomato, peas, Brussels sprouts, rice bran | DL-alpha-Lipoic acid | nan | R-alpha-Lipoic acid | Adipic acid | Lipoic acid","Thioctic acid | Lipoate | Lipoic acid | ALA | Thioctan | Thioctic Acid | Lipoic acid product | alpha-lipoic acid | ALPHA LIPOIC ACID | acid lipoic | acids lipoic | 1,2-Dithiolane-3-pentanoic acid | α-lipoic acid | Thioctic acid D-form | (R)-1,2-dithiolane-3-valeric acid | R-alpha-lipoic acid | (R)-(+)-Lipoate | R-(+)-thioctic acid | (R)-6,8-thioctic acid | (R)-1,2-Dithiolane-3-pentanoic acid | D-thioctic acid | Product containing lipoic acid | (+)-alpha-Lipoic acid | acid alpha lipoic | acid alpha-lipoic",Alpha-Lipoic Acid,"DL-alpha-Lipoic acid | 1,2-dithiolane-3-pentanoic acid | 1,2-Dithiolane-3-pentanoic acid, (R) | Alpha lipoic acid | 1,2-dithiolane-3-pentanoic acid, (R) | (+-)-1,2-Dithiolane-3-pentanoic acid | Thioctic Acid | Lipoic acid | (±)-1,2-Dithiolane-3-pentanoic acid | 1,2-dithiolane-3-valeric acid | R-Lipoic Acid | (+)-1,2-dithiolane-3-pentanoic acid | R-a-lipoic acid | Thioctic acid | (R)-1,2-dithiolane-3-pentanoic acid | Alpha Lipoic Acid | R-alpha-lipoic acid",Alpha-Lipoic Acid | Alpha Lipoic Acid | Lipoic Acid | Zinc lipoic acid,"(R)-1,2-DITHIOLANE-3-PENTANOIC ACID | Alpha-Lipoic Acid | (±)-1,2-DITHIOLANE-3-PENTANOIC ACID",,DC0023791,C0023791,
DSI000008,pawpaw,C0330214,"Asimina triloba, commonly known as pawpaw, is native to North America and has edible bean-shaped fruits. In vitro studies show that pawpaw extract has cytotoxic effects against cancer cell lines including those resistant to adriamycin , as well as antiangiogenic activity . Compounds known as acetogenins are thought to be the active constituents . Clinical studies have not been conducted. Extracts of pawpaw twigs and leaves have been used in anti-lice shampoos and as pesticides . Both the crude fruit extract and annonacin, a major constituent of pawpaw, cause neurotoxicity in vitro . Asimina triloba should not be confused with graviola, also known as Brazilian pawpaw, or with papaya, another fruit with a similar texture and appearance.",,"Acetogenins, the active constituents of pawpaw fruit, inhibit Complex I of the electron transport chain and NADH oxidase, a protein in the plasma membrane (1). With the decrease in regenerable NAD, the ATP levels drop, leading to subsequent cell death by apoptosis.
In vivo experiments have demonstrated pawpaw’s cytotoxicity in mice (5). Pawpaw extract is also cytotoxic to multidrug-resistant cells in vitro, perhaps via inhibition of the P-170 glycoprotein, an efflux pump used by cells resistant to drugs like adriamycin (1).
Annonacin, a major ingredient of pawpaw fruit, and the crude fruit extract are toxic to cortical neurons (10).",Pawpaw fruit,False banana | Pawpaw apple | Custard banana | Poor man's banana | Hoosier banana,American pawpaw,,American Pawpaw,,,DC0330214,,
DSI000009,amygdalin,C0002707,"Amygdalin is a naturally occurring cyanogenic glycoside derived from nuts, plants, and the pits of certain fruits, primarily apricots. Bitter almonds containing amygdalin are used in Traditional Chinese Medicine to remove “blood stasis” and to treat abscesses . Amygdalin was first used to treat cancer more than a century ago in Russia and later in the United States. A purified form sold as Laetrile has been a popular alternative cancer therapy since the 1960s. Some claimed amygdalin to be a vitamin (B17) and that deficiencies could cause cancer, but this is not substantiated by scientific evidence . Amygdalin is banned in the United States, but it is available in other countries and online. Amygdalin is metabolized by the enzyme beta-glucosidase into benzaldehyde, glucose and cyanide in the intestine . Cyanide is believed to be cytotoxic with actions selective against cancerous cells, but results from animal studies were mostly negative . Other preclinical data suggest that amygdalin has hepatoprotective effects ; may help relieve pain due to anti-inflammatory and analgesic properties ; and exerts protective effects in chronic obstructive pulmonary disease . Amygdalin also inhibited tumor growth, but further studies are needed to confirm this finding . A clinical trial in the late 1970s supported by the National Cancer Institute did not find amygdalin beneficial, and some patients in the study developed cyanide toxicity . A systematic review also concluded that amygdalin is ineffective against cancer . With the recent discovery of anticancer properties of amygdalin through previously unknown mechanisms , there is renewed interest in whether this agent may have potential as an anticancer treatment. However, amygdalin is not approved for use in the United States.",,"Amygdalin is metabolized by the enzyme beta-glucosidase, which removes the glucose molecules to form prunasin and mandelonitrile. This is further broken down to benzaldehyde and hydrocyanic acid (3) (4). When consumed orally, amygdalin is more likely to produce cyanide toxicity, compared with the injectable form (17), possibly due to the presence of enzymes from the microflora in the intestine (18). Cyanide from the hydrolysis of amygdalin is cytotoxic. It was postulated that this action is selective against cancerous cells because normal cells convert the cyanide to benign thiocyanate via rhodanese (19) (20) (21). This theory has not been proven in humans (22).
Amygdalin demonstrated anti-inflammatory effects by promoting immunomodulation of Treg cells (24). In animal studies, amygdalin suppressed prostaglandin E(2) synthesis and NO production through COX-2 and iNOS inhibition (7). It also reduced inflammation pain by inhibiting TNF-alpha and IL-1beta (8), and exerts neurotrophic effects by activating the extracellular-signal-regulated kinase (ERK) 1/2 pathway (25).
Recent studies found amygdalin may have anticancer effects. In animal models, amygdalin inhibits the tumor-promoting effect of the Epstein-Barr virus (12). In human prostate cancer cells, it increased pro-apoptotic Bax protein expression and caspase-3 enzyme activity, while decreasing anti-apoptotic Bcl-2 protein expression (23). It also downregulates cell cycle-related genes in human colon cancer cells (13). Amygdalin may inhibit growth and proliferation in bladder cancer cell lines by decreasing cell cycle regulatory proteins cdk2 and cyclin A (16). It also induces growth-regulating protein follistatin expression in human hepatocarcinoma cells (15).",,Apricot pits | Vitamin B17 | Mandelonitrile-beta-glucuronide (semi-synthetic) | Mandelonitrile beta-D-gentiobioside (natural product) | Laevorotatory and mandelonitrile | Prunasin,Amygdalin,,Amygdalin,,,DC0002707,,
